Date,Price,Actual Load [MW],Forecasted Load [MW],Forecasted Total Generation [MW],Solar [MW],Wind Land [MW],Wind Sea [MW],Total Renewables [MW],Forecasted Solar [MW],Forecasted Wind Land [MW],Forecasted Wind Sea [MW],Forecasted Total Renewables [MW],Biomass [MW],Fossil Gas [MW],Fossil Coal [MW],Nuclear [MW],Other [MW],Gas Price,Oil Price,Coal Price,Residual Load [MW],Wind Speed [m/s],Temperature,Irradiation,Cloud Coverage,Relative Humidity,monday,tuesday,wednesday,thursday,friday,saturday,sunday,weekend,holiday
2023-01-01 00:00:00,-3.61,9912.0,11330.0,8628.0,0.0,5563.986,1100.0,6663.986,0.0,5862.0,1655.0,7517.0,45.0,1075.0,1228.0,486.0,3867.0,72.315,82.12,187.25,3248.014,8.0,15.5,0.0,8.0,58.0,0,0,0,0,0,0,1,1,1
2023-01-01 01:00:00,-1.46,9847.0,10929.0,7837.0,0.0,5543.986,1095.0,6638.986,0.0,5822.0,1646.0,7468.0,45.0,1144.0,1237.0,486.0,3994.0,72.315,82.12,187.25,3208.014,9.0,15.0,0.0,8.0,61.0,0,0,0,0,0,0,1,1,1
2023-01-01 02:00:00,-1.52,9640.0,10601.0,7555.0,0.0,5523.986,1094.5,6618.486,0.0,5728.0,1645.0,7373.0,45.0,1124.0,1241.0,485.0,4246.0,72.315,82.12,187.25,3021.514,8.0,14.9,0.0,8.0,60.0,0,0,0,0,0,0,1,1,1
2023-01-01 03:00:00,-5.0,9398.0,10508.0,7372.0,0.0,5498.325,1098.25,6596.575,0.0,5626.0,1645.0,7271.0,45.0,1112.0,1239.0,485.0,4019.0,72.315,82.12,187.25,2801.425,8.0,13.9,0.0,8.0,68.0,0,0,0,0,0,0,1,1,1
2023-01-01 04:00:00,-4.6,9172.0,10446.0,7298.0,0.0,5473.884,1076.5,6550.384,0.0,5508.0,1644.0,7152.0,45.0,1046.0,1265.0,485.0,3887.0,72.315,82.12,187.25,2621.616,8.0,13.1,0.0,8.0,73.0,0,0,0,0,0,0,1,1,1
2023-01-01 05:00:00,-4.05,9090.0,10410.0,7229.0,0.0,5485.454,1127.75,6613.204,0.0,5380.0,1636.0,7016.0,45.0,1078.0,1269.0,485.0,3664.0,72.315,82.12,187.25,2476.796,7.0,12.9,0.0,8.0,67.0,0,0,0,0,0,0,1,1,1
2023-01-01 06:00:00,-3.6,9147.0,10447.0,7137.0,0.0,5495.361,1128.75,6624.111,0.0,5025.0,1622.0,6647.0,45.0,1047.0,1264.0,485.0,3914.0,72.315,82.12,187.25,2522.889,7.0,12.5,0.0,8.0,64.0,0,0,0,0,0,0,1,1,1
2023-01-01 07:00:00,0.0,9340.0,10830.0,7396.0,0.0,5443.684,1219.5,6663.184,0.0,4822.0,1598.0,6420.0,45.0,1061.0,1293.0,486.0,3542.0,72.315,82.12,187.25,2676.816,6.0,11.6,1.0,8.0,69.0,0,0,0,0,0,0,1,1,1
2023-01-01 08:00:00,0.0,9619.0,11468.0,7648.0,0.0,5328.579,1664.001,6992.58,0.0,4618.0,1581.0,6199.0,44.0,1088.0,1288.0,486.0,3457.0,72.315,82.12,187.25,2626.42,5.0,11.5,8.0,8.0,71.0,0,0,0,0,0,0,1,1,1
2023-01-01 09:00:00,0.0,9908.0,12014.0,8389.0,1.848,5083.697,1914.75,7000.295,0.0,4392.0,1579.0,5971.0,45.0,1136.0,1294.0,486.0,3459.0,72.315,82.12,187.25,2907.705,5.0,12.0,34.0,8.0,71.0,0,0,0,0,0,0,1,1,1
2023-01-01 10:00:00,0.99,10192.0,12251.0,8919.0,122.738,4752.724,2072.499,6947.961,147.0,4166.0,1572.0,5885.0,45.0,1168.0,1208.0,486.0,3992.0,72.315,82.12,187.25,3244.039,6.0,12.8,46.0,8.0,72.0,0,0,0,0,0,0,1,1,1
2023-01-01 11:00:00,0.58,10036.0,12021.0,9103.0,1044.092,4475.89,1828.0,7347.982,666.0,4000.0,1568.0,6234.0,45.0,1172.0,1213.0,486.0,4053.0,72.315,82.12,187.25,2688.018,6.0,12.3,35.0,8.0,78.0,0,0,0,0,0,0,1,1,1
2023-01-01 12:00:00,0.04,10271.0,12066.0,9281.0,2368.252,4487.05,1856.499,8711.801,876.0,3866.0,1552.0,6294.0,45.0,1167.0,1215.0,486.0,4134.0,72.315,82.12,187.25,1559.199,6.0,12.9,37.0,8.0,72.0,0,0,0,0,0,0,1,1,1
2023-01-01 13:00:00,0.0,10476.0,12311.0,9184.0,2887.39,4702.916,1868.25,9458.556,967.0,3738.0,1533.0,6238.0,45.0,1179.0,1210.0,486.0,4231.0,72.315,82.12,187.25,1017.444,5.0,12.5,22.0,8.0,74.0,0,0,0,0,0,0,1,1,1
2023-01-01 14:00:00,0.85,10840.0,12661.0,9302.0,2844.086,4560.553,1686.251,9090.89,904.0,3611.0,1517.0,6032.0,45.0,1234.0,1215.0,485.0,3696.0,72.315,82.12,187.25,1749.11,4.0,12.3,11.0,8.0,76.0,0,0,0,0,0,0,1,1,1
2023-01-01 15:00:00,23.53,11268.0,12852.0,9338.0,1878.697,4314.083,1737.749,7930.529,740.0,3484.0,1485.0,5709.0,45.0,1287.0,1223.0,485.0,3008.0,72.315,82.12,187.25,3337.471,3.0,12.2,2.0,8.0,77.0,0,0,0,0,0,0,1,1,1
2023-01-01 16:00:00,36.54,11474.0,13149.0,9617.0,748.872,3530.864,1597.0,5876.736,456.0,3340.0,1461.0,5257.0,45.0,1289.0,1230.0,485.0,2581.0,72.315,82.12,187.25,5597.264,4.0,12.1,0.0,8.0,78.0,0,0,0,0,0,0,1,1,1
